Anno;Pioggia in mm;;;;
;1 ora;3 ore;6 ore;12 ore;24 ore
;mm;mm;mm;mm;mm
1992;35.4;52.2;52.8;59.4;69.0
1993;31.8;35.0;38.8;43.8;46.8
1994;29.0;34.2;41.6;52.2;70.2
1995;36.4;36.4;36.4;36.4;69.4
1996;50.4;62.0;64.2;64.2;64.2
1997;29.6;35.6;48.8;48.8;49.6
1998;35.4;42.2;42.4;42.8;50.2
1999;31.6;31.6;40.0;56.2;63.0
2000;26.8;32.6;35.8;57.6;65.0
2001;18.4;22.0;27.4;33.4;55.2
2002;25.2;38.2;41.6;41.6;43.6
2003;28.6;30.6;32.2;37.2;43.4
2004;56.6;58.8;59.0;59.0;60.0
2005;30.4;35.6;56.2;72.8;80.0
2006;27.6;32.0;40.4;57.4;61.8
2007;44.4;51.8;51.8;64.0;84.6
2008;30.4;56.0;68.4;75.6;81.0
2009;38.4;45.0;45.2;57.2;57.2
2010;26.8;35.6;41.8;48.2;64.2
2011;34.6;40.8;44.4;44.6;54.4
2012;25.4;41.4;49.0;49.0;59.8
2013;12.8;28.0;41.2;64.4;70.4
2014;44.0;50.4;50.8;58.0;62.6
2015;21.0;47.2;61.6;62.0;64.8
2016;30.6;32.8;41.2;42.6;51.2
2017;45.6;49.8;49.8;49.8;50.0
2018;32.4;37.4;48.8;58.2;69.2
2019;39.6;42.6;49.2;57.2;57.8
2020;23.4;27.4;29.0;42.2;55.2
2021;19.2;26.8;35.8;38.4;40.6
2022;18.2;21.8;38.8;41.8;44.6
